ID,Subject,Type,Difficulty,Question,Options,Correct Answer,Correct Index,Worked Solution,VERIFIED (Y/N),ISSUES/NOTES
02144d35-6b5f-4729-be8a-3fd82375edb0,non_verbal_reasoning,nvr_sequences,2,"{""type"": ""nvr_sequence"", ""sequence"": [""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><polygon points=\""40,-0.41451884327380384 5.0,60.207259421636905 75.0,60.207259421636905\"" fill=\""#8B5CF6\"" stroke=\""#047857\"" stroke-width=\""2\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><rect x=\""5\"" y=\""5\"" width=\""70\"" height=\""70\"" fill=\""#8B5CF6\"" stroke=\""#B91C1C\"" stroke-width=\""2\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><polygon points=\""40.0,5.0 73.3,29.2 60.6,68.3 19.4,68.3 6.7,29.2\"" fill=\""#8B5CF6\"" stroke=\""#B45309\"" stroke-width=\""2\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><polygon points=\""40.0,5.0 70.3,22.5 70.3,57.5 40.0,75.0 9.7,57.5 9.7,22.5\"" fill=\""#8B5CF6\"" stroke=\""#6D28D9\"" stroke-width=\""2\""/></svg>""], ""instruction"": ""What comes next in the sequence?""}","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><polygon points=""40,5 75,40 40,75 5,40"" fill=""#8B5CF6"" stroke=""#0E7490"" stroke-width=""2""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><polygon points=""40,-0.41451884327380384 5.0,60.207259421636905 75.0,60.207259421636905"" fill=""#8B5CF6"" stroke=""#047857"" stroke-width=""2""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><circle cx=""40"" cy=""40"" r=""35"" fill=""#8B5CF6"" stroke=""#1E40AF"" stroke-width=""2""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><polygon points=""40.0,5.0 48.2,28.7 73.3,29.2 53.3,44.3 60.6,68.3 40.0,54.0 19.4,68.3 26.7,44.3 6.7,29.2 31.8,28.7"" fill=""#8B5CF6"" stroke=""#BE185D"" stroke-width=""2""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><rect x=""5"" y=""5"" width=""70"" height=""70"" fill=""#8B5CF6"" stroke=""#B91C1C"" stroke-width=""2""/></svg>",3,3,Each shape gains one more side: 3→4→5→6→7 (star has 7 points).,,
061cd278-28ae-4fb2-a5ad-e16d307bca89,non_verbal_reasoning,nvr_sequences,3,"{""type"": ""nvr_sequence"", ""sequence"": [""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><circle cx=\""40\"" cy=\""40\"" r=\""15\"" fill=\""#F59E0B\"" stroke=\""#1E40AF\"" stroke-width=\""2\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><circle cx=\""40\"" cy=\""40\"" r=\""22\"" fill=\""#F59E0B\"" stroke=\""#1E40AF\"" stroke-width=\""2\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><circle cx=\""40\"" cy=\""40\"" r=\""29\"" fill=\""#F59E0B\"" stroke=\""#1E40AF\"" stroke-width=\""2\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><circle cx=\""40\"" cy=\""40\"" r=\""36\"" fill=\""#F59E0B\"" stroke=\""#1E40AF\"" stroke-width=\""2\""/></svg>""], ""instruction"": ""What comes next in the sequence?""}","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><circle cx=""40"" cy=""40"" r=""36"" fill=""#F59E0B"" stroke=""#1E40AF"" stroke-width=""2""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><circle cx=""40"" cy=""40"" r=""43"" fill=""#F59E0B"" stroke=""#1E40AF"" stroke-width=""2""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><circle cx=""40"" cy=""40"" r=""36"" fill=""#F59E0B"" stroke=""#1E40AF"" stroke-width=""2""/></svg>",1,1,The circle increases by 7 each step.,,
093ae297-f978-4f62-b6c6-e02b9c6816ba,non_verbal_reasoning,nvr_sequences,3,"{""type"": ""nvr_sequence"", ""sequence"": [""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><polygon points=\""40.0,5.0 73.3,29.2 60.6,68.3 19.4,68.3 6.7,29.2\"" fill=\""#EC4899\"" stroke=\""#B45309\"" stroke-width=\""2\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><polygon points=\""40.0,5.0 73.3,29.2 60.6,68.3 19.4,68.3 6.7,29.2\"" fill=\""#EC4899\"" stroke=\""#B45309\"" stroke-width=\""2\"" transform=\""rotate(72 40 40)\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><polygon points=\""40.0,5.0 73.3,29.2 60.6,68.3 19.4,68.3 6.7,29.2\"" fill=\""#EC4899\"" stroke=\""#B45309\"" stroke-width=\""2\"" transform=\""rotate(144 40 40)\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><polygon points=\""40.0,5.0 73.3,29.2 60.6,68.3 19.4,68.3 6.7,29.2\"" fill=\""#EC4899\"" stroke=\""#B45309\"" stroke-width=\""2\"" transform=\""rotate(216 40 40)\""/></svg>""], ""instruction"": ""What comes next in the sequence?""}","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><polygon points=""40.0,5.0 73.3,29.2 60.6,68.3 19.4,68.3 6.7,29.2"" fill=""#EC4899"" stroke=""#B45309"" stroke-width=""2"" transform=""rotate(360 40 40)""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><polygon points=""40.0,5.0 73.3,29.2 60.6,68.3 19.4,68.3 6.7,29.2"" fill=""#EC4899"" stroke=""#B45309"" stroke-width=""2""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><polygon points=""40.0,5.0 73.3,29.2 60.6,68.3 19.4,68.3 6.7,29.2"" fill=""#EC4899"" stroke=""#B45309"" stroke-width=""2"" transform=""rotate(216 40 40)""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><polygon points=""40.0,5.0 73.3,29.2 60.6,68.3 19.4,68.3 6.7,29.2"" fill=""#EC4899"" stroke=""#B45309"" stroke-width=""2"" transform=""rotate(432 40 40)""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><polygon points=""40.0,5.0 73.3,29.2 60.6,68.3 19.4,68.3 6.7,29.2"" fill=""#EC4899"" stroke=""#B45309"" stroke-width=""2"" transform=""rotate(288 40 40)""/></svg>",4,4,"The pentagon rotates 72° clockwise each step. After 4 steps, it has rotated 288°.",,
0a7a274e-8bc7-43be-a7e1-efe1bdcea98c,non_verbal_reasoning,nvr_sequences,3,"{""type"": ""nvr_sequence"", ""sequence"": [""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><polygon points=\""40.0,25.0 53.0,32.5 53.0,47.5 40.0,55.0 27.0,47.5 27.0,32.5\"" fill=\""#EC4899\"" stroke=\""#6D28D9\"" stroke-width=\""2\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><polygon points=\""40.0,18.0 59.1,29.0 59.1,51.0 40.0,62.0 20.9,51.0 20.9,29.0\"" fill=\""#EC4899\"" stroke=\""#6D28D9\"" stroke-width=\""2\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><polygon points=\""40.0,11.0 65.1,25.5 65.1,54.5 40.0,69.0 14.9,54.5 14.9,25.5\"" fill=\""#EC4899\"" stroke=\""#6D28D9\"" stroke-width=\""2\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><polygon points=\""40.0,4.0 71.2,22.0 71.2,58.0 40.0,76.0 8.8,58.0 8.8,22.0\"" fill=\""#EC4899\"" stroke=\""#6D28D9\"" stroke-width=\""2\""/></svg>""], ""instruction"": ""What comes next in the sequence?""}","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><polygon points=""40.0,4.0 71.2,22.0 71.2,58.0 40.0,76.0 8.8,58.0 8.8,22.0"" fill=""#EC4899"" stroke=""#6D28D9"" stroke-width=""2""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><polygon points=""40.0,-3.0 77.2,18.5 77.2,61.5 40.0,83.0 2.8,61.5 2.8,18.5"" fill=""#EC4899"" stroke=""#6D28D9"" stroke-width=""2""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><polygon points=""40.0,4.0 71.2,22.0 71.2,58.0 40.0,76.0 8.8,58.0 8.8,22.0"" fill=""#EC4899"" stroke=""#6D28D9"" stroke-width=""2""/></svg>",1,1,The hexagon increases by 7 each step.,,
0ad4c587-328f-44fe-988f-46567f94c219,non_verbal_reasoning,nvr_sequences,2,"{""type"": ""nvr_sequence"", ""sequence"": [""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><rect x=\""0\"" y=\""0\"" width=\""80\"" height=\""80\"" fill=\""#EC4899\"" stroke=\""#B91C1C\"" stroke-width=\""2\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><rect x=\""6\"" y=\""6\"" width=\""68\"" height=\""68\"" fill=\""#EC4899\"" stroke=\""#B91C1C\"" stroke-width=\""2\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><rect x=\""12\"" y=\""12\"" width=\""56\"" height=\""56\"" fill=\""#EC4899\"" stroke=\""#B91C1C\"" stroke-width=\""2\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><rect x=\""18\"" y=\""18\"" width=\""44\"" height=\""44\"" fill=\""#EC4899\"" stroke=\""#B91C1C\"" stroke-width=\""2\""/></svg>""], ""instruction"": ""What comes next in the sequence?""}","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><rect x=""18"" y=""18"" width=""44"" height=""44"" fill=""#EC4899"" stroke=""#B91C1C"" stroke-width=""2""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><rect x=""17"" y=""17"" width=""46"" height=""46"" fill=""#EC4899"" stroke=""#B91C1C"" stroke-width=""2""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><rect x=""24"" y=""24"" width=""32"" height=""32"" fill=""#EC4899"" stroke=""#B91C1C"" stroke-width=""2""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><rect x=""21"" y=""21"" width=""38"" height=""38"" fill=""#EC4899"" stroke=""#B91C1C"" stroke-width=""2""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><rect x=""31"" y=""31"" width=""18"" height=""18"" fill=""#EC4899"" stroke=""#B91C1C"" stroke-width=""2""/></svg>",2,2,The square decreases by 6 each step.,,
0bdb0040-a657-4378-a313-382683b8b0e8,non_verbal_reasoning,nvr_sequences,3,"{""type"": ""nvr_sequence"", ""sequence"": [""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><rect x=\""5\"" y=\""5\"" width=\""70\"" height=\""70\"" fill=\""#3B82F6\"" stroke=\""#B91C1C\"" stroke-width=\""2\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><rect x=\""5\"" y=\""5\"" width=\""70\"" height=\""70\"" fill=\""#3B82F6\"" stroke=\""#B91C1C\"" stroke-width=\""2\"" transform=\""rotate(72 40 40)\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><rect x=\""5\"" y=\""5\"" width=\""70\"" height=\""70\"" fill=\""#3B82F6\"" stroke=\""#B91C1C\"" stroke-width=\""2\"" transform=\""rotate(144 40 40)\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><rect x=\""5\"" y=\""5\"" width=\""70\"" height=\""70\"" fill=\""#3B82F6\"" stroke=\""#B91C1C\"" stroke-width=\""2\"" transform=\""rotate(216 40 40)\""/></svg>""], ""instruction"": ""What comes next in the sequence?""}","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><rect x=""5"" y=""5"" width=""70"" height=""70"" fill=""#3B82F6"" stroke=""#B91C1C"" stroke-width=""2"" transform=""rotate(360 40 40)""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><rect x=""5"" y=""5"" width=""70"" height=""70"" fill=""#3B82F6"" stroke=""#B91C1C"" stroke-width=""2"" transform=""rotate(432 40 40)""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><rect x=""5"" y=""5"" width=""70"" height=""70"" fill=""#3B82F6"" stroke=""#B91C1C"" stroke-width=""2"" transform=""rotate(216 40 40)""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><rect x=""5"" y=""5"" width=""70"" height=""70"" fill=""#3B82F6"" stroke=""#B91C1C"" stroke-width=""2""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><rect x=""5"" y=""5"" width=""70"" height=""70"" fill=""#3B82F6"" stroke=""#B91C1C"" stroke-width=""2"" transform=""rotate(288 40 40)""/></svg>",4,4,"The square rotates 72° clockwise each step. After 4 steps, it has rotated 288°.",,
0ff730e5-7f19-42ce-88ca-a62fe6371926,non_verbal_reasoning,nvr_sequences,3,"{""type"": ""nvr_sequence"", ""sequence"": [""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><polygon points=\""40,-0.41451884327380384 5.0,60.207259421636905 75.0,60.207259421636905\"" fill=\""#EC4899\"" stroke=\""#047857\"" stroke-width=\""2\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><rect x=\""5\"" y=\""5\"" width=\""70\"" height=\""70\"" fill=\""#EC4899\"" stroke=\""#B91C1C\"" stroke-width=\""2\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><polygon points=\""40.0,5.0 73.3,29.2 60.6,68.3 19.4,68.3 6.7,29.2\"" fill=\""#EC4899\"" stroke=\""#B45309\"" stroke-width=\""2\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><polygon points=\""40.0,5.0 70.3,22.5 70.3,57.5 40.0,75.0 9.7,57.5 9.7,22.5\"" fill=\""#EC4899\"" stroke=\""#6D28D9\"" stroke-width=\""2\""/></svg>""], ""instruction"": ""What comes next in the sequence?""}","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><polygon points=""40,5 75,40 40,75 5,40"" fill=""#EC4899"" stroke=""#0E7490"" stroke-width=""2""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><rect x=""5"" y=""5"" width=""70"" height=""70"" fill=""#EC4899"" stroke=""#B91C1C"" stroke-width=""2""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><circle cx=""40"" cy=""40"" r=""35"" fill=""#EC4899"" stroke=""#1E40AF"" stroke-width=""2""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><polygon points=""40,-0.41451884327380384 5.0,60.207259421636905 75.0,60.207259421636905"" fill=""#EC4899"" stroke=""#047857"" stroke-width=""2""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><polygon points=""40.0,5.0 48.2,28.7 73.3,29.2 53.3,44.3 60.6,68.3 40.0,54.0 19.4,68.3 26.7,44.3 6.7,29.2 31.8,28.7"" fill=""#EC4899"" stroke=""#BE185D"" stroke-width=""2""/></svg>",4,4,Each shape gains one more side: 3→4→5→6→7 (star has 7 points).,,
11c99087-0679-40fa-8496-3e2c29ccc6f6,non_verbal_reasoning,nvr_sequences,2,"{""type"": ""nvr_sequence"", ""sequence"": [""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><circle cx=\""40\"" cy=\""40\"" r=\""15\"" fill=\""#3B82F6\"" stroke=\""#1E40AF\"" stroke-width=\""2\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><circle cx=\""40\"" cy=\""40\"" r=\""22\"" fill=\""#3B82F6\"" stroke=\""#1E40AF\"" stroke-width=\""2\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><circle cx=\""40\"" cy=\""40\"" r=\""29\"" fill=\""#3B82F6\"" stroke=\""#1E40AF\"" stroke-width=\""2\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><circle cx=\""40\"" cy=\""40\"" r=\""36\"" fill=\""#3B82F6\"" stroke=\""#1E40AF\"" stroke-width=\""2\""/></svg>""], ""instruction"": ""What comes next in the sequence?""}","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><circle cx=""40"" cy=""40"" r=""36"" fill=""#3B82F6"" stroke=""#1E40AF"" stroke-width=""2""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><circle cx=""40"" cy=""40"" r=""43"" fill=""#3B82F6"" stroke=""#1E40AF"" stroke-width=""2""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><circle cx=""40"" cy=""40"" r=""36"" fill=""#3B82F6"" stroke=""#1E40AF"" stroke-width=""2""/></svg>",1,1,The circle increases by 7 each step.,,
13b7a0ae-c9cd-441b-80fe-c85cd5cd6c92,non_verbal_reasoning,nvr_sequences,4,"{""type"": ""nvr_sequence"", ""sequence"": [""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><polygon points=\""40.0,5.0 48.2,28.7 73.3,29.2 53.3,44.3 60.6,68.3 40.0,54.0 19.4,68.3 26.7,44.3 6.7,29.2 31.8,28.7\"" fill=\""#10B981\"" stroke=\""#BE185D\"" stroke-width=\""2\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><polygon points=\""40.0,5.0 48.2,28.7 73.3,29.2 53.3,44.3 60.6,68.3 40.0,54.0 19.4,68.3 26.7,44.3 6.7,29.2 31.8,28.7\"" fill=\""#10B981\"" stroke=\""#BE185D\"" stroke-width=\""2\"" transform=\""rotate(60 40 40)\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><polygon points=\""40.0,5.0 48.2,28.7 73.3,29.2 53.3,44.3 60.6,68.3 40.0,54.0 19.4,68.3 26.7,44.3 6.7,29.2 31.8,28.7\"" fill=\""#10B981\"" stroke=\""#BE185D\"" stroke-width=\""2\"" transform=\""rotate(120 40 40)\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><polygon points=\""40.0,5.0 48.2,28.7 73.3,29.2 53.3,44.3 60.6,68.3 40.0,54.0 19.4,68.3 26.7,44.3 6.7,29.2 31.8,28.7\"" fill=\""#10B981\"" stroke=\""#BE185D\"" stroke-width=\""2\"" transform=\""rotate(180 40 40)\""/></svg>""], ""instruction"": ""What comes next in the sequence?""}","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><polygon points=""40.0,5.0 48.2,28.7 73.3,29.2 53.3,44.3 60.6,68.3 40.0,54.0 19.4,68.3 26.7,44.3 6.7,29.2 31.8,28.7"" fill=""#10B981"" stroke=""#BE185D"" stroke-width=""2"" transform=""rotate(360 40 40)""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><polygon points=""40.0,5.0 48.2,28.7 73.3,29.2 53.3,44.3 60.6,68.3 40.0,54.0 19.4,68.3 26.7,44.3 6.7,29.2 31.8,28.7"" fill=""#10B981"" stroke=""#BE185D"" stroke-width=""2""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><polygon points=""40.0,5.0 48.2,28.7 73.3,29.2 53.3,44.3 60.6,68.3 40.0,54.0 19.4,68.3 26.7,44.3 6.7,29.2 31.8,28.7"" fill=""#10B981"" stroke=""#BE185D"" stroke-width=""2"" transform=""rotate(240 40 40)""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><polygon points=""40.0,5.0 48.2,28.7 73.3,29.2 53.3,44.3 60.6,68.3 40.0,54.0 19.4,68.3 26.7,44.3 6.7,29.2 31.8,28.7"" fill=""#10B981"" stroke=""#BE185D"" stroke-width=""2"" transform=""rotate(300 40 40)""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><polygon points=""40.0,5.0 48.2,28.7 73.3,29.2 53.3,44.3 60.6,68.3 40.0,54.0 19.4,68.3 26.7,44.3 6.7,29.2 31.8,28.7"" fill=""#10B981"" stroke=""#BE185D"" stroke-width=""2"" transform=""rotate(180 40 40)""/></svg>",2,2,"The star rotates 60° clockwise each step. After 4 steps, it has rotated 240°.",,
15a5cfb0-dba5-404f-b961-676c73a4b1d1,non_verbal_reasoning,nvr_sequences,4,"{""type"": ""nvr_sequence"", ""sequence"": [""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><polygon points=\""40,-0.41451884327380384 5.0,60.207259421636905 75.0,60.207259421636905\"" fill=\""#F59E0B\"" stroke=\""#047857\"" stroke-width=\""2\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><rect x=\""5\"" y=\""5\"" width=\""70\"" height=\""70\"" fill=\""#F59E0B\"" stroke=\""#B91C1C\"" stroke-width=\""2\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><polygon points=\""40.0,5.0 73.3,29.2 60.6,68.3 19.4,68.3 6.7,29.2\"" fill=\""#F59E0B\"" stroke=\""#B45309\"" stroke-width=\""2\""/></svg>"", ""<svg xmlns=\""http://www.w3.org/2000/svg\"" viewBox=\""0 0 80 80\"" width=\""80\"" height=\""80\""><polygon points=\""40.0,5.0 70.3,22.5 70.3,57.5 40.0,75.0 9.7,57.5 9.7,22.5\"" fill=\""#F59E0B\"" stroke=\""#6D28D9\"" stroke-width=\""2\""/></svg>""], ""instruction"": ""What comes next in the sequence?""}","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><rect x=""5"" y=""5"" width=""70"" height=""70"" fill=""#F59E0B"" stroke=""#B91C1C"" stroke-width=""2""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><polygon points=""40.0,5.0 48.2,28.7 73.3,29.2 53.3,44.3 60.6,68.3 40.0,54.0 19.4,68.3 26.7,44.3 6.7,29.2 31.8,28.7"" fill=""#F59E0B"" stroke=""#BE185D"" stroke-width=""2""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><circle cx=""40"" cy=""40"" r=""35"" fill=""#F59E0B"" stroke=""#1E40AF"" stroke-width=""2""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><polygon points=""40,-0.41451884327380384 5.0,60.207259421636905 75.0,60.207259421636905"" fill=""#F59E0B"" stroke=""#047857"" stroke-width=""2""/></svg> | <svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 80 80"" width=""80"" height=""80""><polygon points=""40,5 75,40 40,75 5,40"" fill=""#F59E0B"" stroke=""#0E7490"" stroke-width=""2""/></svg>",1,1,Each shape gains one more side: 3→4→5→6→7 (star has 7 points).,,
