ID,Subject,Type,Difficulty,Question,Options,Correct Answer,Correct Index,Worked Solution,VERIFIED (Y/N),ISSUES/NOTES
02afe745-accb-4971-bfe6-320e74165716,verbal_reasoning,letter_sequences,2,"What comes next in the sequence?
HG, JH, LI, NJ, ___",PK | RK | OK | QK | PL,PK,0,"First letters advance by 2, second by 1. Answer: PK",,
04f058d7-32f7-4f9b-8544-3b55d0a8dd25,verbal_reasoning,letter_sequences,3,"What comes next in the sequence?
AR, BT, CV, DW, ___",EX | EY | EU | EV | EW,EX,0,"Each pair moves forward two letters in the alphabet for each position: A→C→E→G (first letters) and R→T→V→X (second letters). The next pair is E followed by X, i.e., EX.",,
0a89a350-b594-41ce-90b0-4d7d17b58e23,verbal_reasoning,letter_sequences,3,"What comes next in the sequence?
AB, BD, CF, DH, ___",EI | FJ | EJ | DJ | FK,EJ,2,"The first letters progress alphabetically: A, B, C, D, E. The second letters increase by two each time: B, D, F, H, J. Therefore the next pair is EJ.",,
0aff61fe-9e50-406f-94f6-6acaf4e2437c,verbal_reasoning,letter_sequences,3,"What comes next in the sequence?
CS, EV, GY, IB, ___",LE | KE | ME | KF | JE,KE,1,"First letters advance by 2, second by 3. Answer: KE",,
0b57e1bc-5a7b-44a9-8154-a3b3046a10be,verbal_reasoning,letter_sequences,2,"What comes next in the sequence?
KH, LI, MJ, NK, ___",PL | PL | NL | OM | OL,OL,4,"First letters advance by 1, second by 1. Answer: OL",,
0bf09757-e3a5-4661-a35a-1aa1b824802f,verbal_reasoning,letter_sequences,2,"What comes next in the sequence?
QE, RF, SG, TH, ___",TI | VI | VI | UJ | UI,UI,4,"First letters advance by 1, second by 1. Answer: UI",,
0c717cb7-9ab7-4358-8e6d-248ed09d622a,verbal_reasoning,letter_sequences,2,"What comes next in the sequence?
TA, UC, VE, WG, ___",XJ | YI | YI | XI | WI,XI,3,"First letters advance by 1, second by 2. Answer: XI",,
0c9c24b2-d9f9-458f-ae54-6475125b09cc,verbal_reasoning,letter_sequences,2,"What comes next in the sequence?
OR, QS, ST, UU, ___",WW | YV | VV | WV | XV,WV,3,"First letters advance by 2, second by 1. Answer: WV",,
0cb10120-af27-4783-b57d-b7be1d096680,verbal_reasoning,letter_sequences,2,"What comes next in the sequence?
PQ, RS, TU, VW, ___",YY | XZ | XY | ZY | WY,XY,2,"First letters advance by 2, second by 2. Answer: XY",,
0d14b72b-52fa-4366-b91c-caed4532c858,verbal_reasoning,letter_sequences,3,"What comes next in the sequence?
AB, CD, EF, GH, ___",IJ | HI | JK | GI | IK,IJ,0,"Each pair moves forward by two letters in the alphabet: A‑B, C‑D, E‑F, G‑H, so the next is I‑J.",,
0ed6f544-0d09-4d5c-95cf-dbed52375c54,verbal_reasoning,letter_sequences,3,"What comes next in the sequence?
KA, ND, QG, TJ, ___",ZM | XM | WM | WN | VM,WM,2,"First letters advance by 3, second by 3. Answer: WM",,
0f551f23-e823-4913-bc57-d1cb61415f5d,verbal_reasoning,letter_sequences,3,"What comes next in the sequence?
AB, DE, GH, KL, ___",MN | NO | OP | LM | NP,MN,0,"Each pair skips one letter between the two letters and then moves forward by three positions: AB (skip C), DE (skip F), GH (skip J), KL (skip N). The next pair starts after K, skipping M to give MN.",,
112c7be8-04c4-4333-a16c-7d391caa6dff,verbal_reasoning,letter_sequences,3,"What comes next in the sequence?
AB, DE, GH, JK, ___",LM | NO | MN | OP | KL,MN,2,Each pair moves forward three letters in the alphabet: A→D→G→J→M and B→E→H→K→N. Therefore the next pair is MN.,,
117a643c-e993-4f3c-a5b0-c02f704ef5c6,verbal_reasoning,letter_sequences,2,"What comes next in the sequence?
KG, MI, OK, QM, ___",UO | SO | RO | TO | SP,SO,1,"First letters advance by 2, second by 2. Answer: SO",,
120c83e5-81a0-4cac-ac0f-60864b5eab4b,verbal_reasoning,letter_sequences,3,"What comes next in the sequence?
AB, DE, GH, JK, ___",LM | MN | NO | OP | PQ,MN,1,"Each pair moves forward by three letters in the alphabet: A‑B, then D‑E (+3), G‑H (+3), J‑K (+3). The next start letter is M, giving the pair MN.",,
137330d2-0103-458b-af83-cdc5e2d1499d,verbal_reasoning,letter_sequences,2,"What comes next in the sequence?
AR, BT, CV, DX, ___",DZ | EZ | FZ | EA | FZ,EZ,1,"First letters advance by 1, second by 2. Answer: EZ",,
162ba04c-15fe-47da-8463-5add7620b0da,verbal_reasoning,letter_sequences,2,"What comes next in the sequence?
AE, CF, EG, GH, ___",JI | HI | II | IJ | KI,II,2,"First letters advance by 2, second by 1. Answer: II",,
16ca51e2-eb61-404e-aed2-62ea1d675a9b,verbal_reasoning,letter_sequences,2,"What comes next in the sequence?
OF, QH, SJ, UL, ___",WO | XN | VN | YN | WN,WN,4,"First letters advance by 2, second by 2. Answer: WN",,
1826e826-9a02-41b5-baf1-d51b8374f04c,verbal_reasoning,letter_sequences,2,"What comes next in the sequence?
TA, VC, XE, ZG, ___",AI | DI | BI | CI | BJ,BI,2,"First letters advance by 2, second by 2. Answer: BI",,
1b243676-62b4-48a9-b2cc-855d81c24a90,verbal_reasoning,letter_sequences,2,"What comes next in the sequence?
KB, MD, OF, QH, ___",SJ | SK | UJ | TJ | RJ,SJ,0,"First letters advance by 2, second by 2. Answer: SJ",,
1cc65ddc-f167-4ae2-8699-183c360f3bc7,verbal_reasoning,letter_sequences,3,"What comes next in the sequence?
CL, EM, GN, IO, ___",LP | JP | MP | KP | KQ,KP,3,"First letters advance by 2, second by 1. Answer: KP",,
1e704c61-3bfd-4c3a-8667-e22bf95b1833,verbal_reasoning,letter_sequences,2,"What comes next in the sequence?
BK, DM, FO, HQ, ___",LS | JT | KS | JS | IS,JS,3,"First letters advance by 2, second by 2. Answer: JS",,
1eb46bc4-c388-4cea-940b-2628ff737b7c,verbal_reasoning,letter_sequences,3,"What comes next in the sequence?
JE, MH, PK, SN, ___",WQ | VR | UQ | VQ | YQ,VQ,3,"First letters advance by 3, second by 3. Answer: VQ",,
1ecb7c14-634b-449b-b2e2-cdb34643746e,verbal_reasoning,letter_sequences,2,"What comes next in the sequence?
CE, DF, EG, FH, ___",HI | GI | HI | FI | GJ,GI,1,"First letters advance by 1, second by 1. Answer: GI",,
218b7562-23d7-4ae3-aa5f-bc5b32d089e9,verbal_reasoning,letter_sequences,3,"What comes next in the sequence?
RB, SE, TH, UK, ___",VN | VO | WN | UN | WN,VN,0,"First letters advance by 1, second by 3. Answer: VN",,
2388653c-a12d-4803-88d7-db6fab25b5c4,verbal_reasoning,letter_sequences,2,"What comes next in the sequence?
LC, MD, NE, OF, ___",QG | QG | PH | OG | PG,PG,4,"First letters advance by 1, second by 1. Answer: PG",,
238a00b0-91d5-4eae-9c63-518bcd707a56,verbal_reasoning,letter_sequences,3,"What comes next in the sequence?
LS, NU, PW, RY, ___",TA | SA | VA | TB | UA,TA,0,"First letters advance by 2, second by 2. Answer: TA",,
23a177fb-8452-4f76-8597-988e4d8e1acf,verbal_reasoning,letter_sequences,2,"What comes next in the sequence?
HQ, IR, JS, KT, ___",MU | MU | LU | KU | LV,LU,2,"First letters advance by 1, second by 1. Answer: LU",,
258e737e-2ee8-4fef-abd8-bb83a56e201e,verbal_reasoning,letter_sequences,3,"What comes next in the sequence?
TI, UL, VO, WR, ___",YU | WU | XV | YU | XU,XU,4,"First letters advance by 1, second by 3. Answer: XU",,
26fdb2fb-86dd-4a0f-9f94-41cf9e9323ff,verbal_reasoning,letter_sequences,2,"What comes next in the sequence?
QS, ST, UU, WV, ___",ZW | YX | XW | YW | AW,YW,3,"First letters advance by 2, second by 1. Answer: YW",,
276f3603-c685-42f7-a715-d4eaa6fe0044,verbal_reasoning,letter_sequences,3,"What comes next in the sequence?
IJ, KK, ML, OM, ___",SN | QN | QO | PN | RN,QN,1,"First letters advance by 2, second by 1. Answer: QN",,
287e3c76-9648-4877-9a0b-60ee729f9d62,verbal_reasoning,letter_sequences,2,"What comes next in the sequence?
HH, IJ, JL, KN, ___",LQ | LP | MP | MP | KP,LP,1,"First letters advance by 1, second by 2. Answer: LP",,
294f9a77-d4b0-4357-945f-ca05f09423ec,verbal_reasoning,letter_sequences,3,"What comes next in the sequence?
MS, OU, QW, SY, ___",UA | UB | TA | VA | WA,UA,0,"First letters advance by 2, second by 2. Answer: UA",,
2a177f4f-33ac-4483-903f-1d4d84acba5b,verbal_reasoning,letter_sequences,3,"What comes next in the sequence?
LH, NJ, PL, RN, ___",UP | TP | TQ | VP | SP,TP,1,"First letters advance by 2, second by 2. Answer: TP",,
2a225756-9dac-45dd-95d8-40d9167310af,verbal_reasoning,letter_sequences,2,"What comes next in the sequence?
EG, GI, IK, KM, ___",NO | MO | LO | OO | MP,MO,1,"First letters advance by 2, second by 2. Answer: MO",,
2ea6ea10-c3ac-4deb-8976-8c3b141c6df7,verbal_reasoning,letter_sequences,3,"What comes next in the sequence?
DJ, GL, JN, MP, ___",PS | OR | SR | PR | QR,PR,3,"First letters advance by 3, second by 2. Answer: PR",,
3064db86-62db-4328-b8e9-98da71bd5767,verbal_reasoning,letter_sequences,2,"What comes next in the sequence?
LL, NN, PP, RR, ___",ST | TT | VT | UT | TU,TT,1,"First letters advance by 2, second by 2. Answer: TT",,
3102df3e-ec4a-4c7a-b06d-ec5e602fb782,verbal_reasoning,letter_sequences,3,"What comes next in the sequence?
AT, BU, CV, DW, ___",EX | EY | EV | EW | EU,EX,0,Each pair moves forward by one letter in both positions: A→B→C→D→E and T→U→V→W→X.,,
31997566-6a4b-4435-9e91-21fba1fffd2d,verbal_reasoning,letter_sequences,3,"What comes next in the sequence?
AT, BU, CV, DW, ___",EX | EV | FX | EW | DX,EX,0,Each pair moves forward one letter in the alphabet for each position: A→B→C→D→E and T→U→V→W→X.,,
32121c39-76d5-45f5-99b3-94faac7dadad,verbal_reasoning,letter_sequences,2,"What comes next in the sequence?
JO, LP, NQ, PR, ___",TS | QS | RT | SS | RS,RS,4,"First letters advance by 2, second by 1. Answer: RS",,
328e6968-8e97-47c3-a73e-f3dc02c2e45a,verbal_reasoning,letter_sequences,3,"What comes next in the sequence?
FT, HV, JX, LZ, ___",MB | NB | PB | OB | NC,NB,1,"First letters advance by 2, second by 2. Answer: NB",,
3682c41d-3a65-4666-a8ba-7f78f2ef0cb2,verbal_reasoning,letter_sequences,3,"What comes next in the sequence?
BF, CH, DJ, EL, ___",FO | FN | GN | GN | EN,FN,1,"First letters advance by 1, second by 2. Answer: FN",,
37f57b4c-0a31-4f13-b777-0fe30abb36f1,verbal_reasoning,letter_sequences,3,"What comes next in the sequence?
LS, NT, PU, RV, ___",VW | UW | TX | TW | SW,TW,3,"First letters advance by 2, second by 1. Answer: TW",,
