ID,Subject,Type,Difficulty,Question,Options,Correct Answer,Correct Index,Worked Solution,VERIFIED (Y/N),ISSUES/NOTES
10f48a9d-2db6-4cfc-90cb-c248f7aa5af6,verbal_reasoning,hidden_words,3,"Find the word hidden across these two words:
COST   AGE",start | stand | stage | stone | start,stage,2,The hidden word is 'stage' - found in cost+age: OSTAGE,,
134584ea-4fa3-48a6-b1c4-8037b65a7e74,verbal_reasoning,hidden_words,3,"Find the word hidden across these two words:
CAST   INK",start | stink | stage | stair | stair,stink,1,The hidden word is 'stink' - found in cast+ink: ASTINK,,
1d202f3f-5bc3-48a8-b00d-93fe7a63c3a4,verbal_reasoning,hidden_words,3,"Find the word hidden across these two words:
BEST   AND",stink | stand | stone | start | stable,stand,1,The hidden word is 'stand' - found in best+and: ESTAND,,
1e9c1cbf-8033-4a8f-ac0b-2fda6882bb7d,verbal_reasoning,hidden_words,3,"Find the word hidden across these two words:
FIRST   ATE",start | stone | stand | state | stone,state,3,The hidden word is 'state' - found in first+ate: RSTATE,,
2a100e30-d1fb-4700-93f8-05f5361ada26,verbal_reasoning,hidden_words,3,"Find the word hidden across these two words:
MOST   ART",stamp | start | stand | stage | stone,start,1,The hidden word is 'start' - found in most+art: OSTART,,
2b92c790-c627-4f92-961f-71f2e08e1953,verbal_reasoning,hidden_words,3,"Find the word hidden across these two words:
ROAST   ABLE",stand | start | stable | state | stair,stable,2,The hidden word is 'stable' - found in roast+able: ASTABLE,,
3120ffae-41aa-43fd-abbd-6f55043b8221,verbal_reasoning,hidden_words,3,"Find the word hidden across these two words:
CAST   INK",start | start | stone | stink | start,stink,3,The hidden word is 'stink' - found in cast+ink: ASTINK,,
370a27cf-c607-4005-8fbc-1b422020534a,verbal_reasoning,hidden_words,3,"Find the word hidden across these two words:
FIRST   ATE",stone | stair | stand | state | stage,state,3,The hidden word is 'state' - found in first+ate: RSTATE,,
3992dc96-f3d1-4d9e-bb9c-4c4c89e05eae,verbal_reasoning,hidden_words,3,"Find the word hidden across these two words:
BEAST   AND",start | start | stair | stand | start,stand,3,The hidden word is 'stand' - found in beast+and: ASTAND,,
3fa10668-e16e-4185-8489-c298d298d5dd,verbal_reasoning,hidden_words,3,"Find the word hidden across these two words:
TEST   ONE",start | stand | stone | state | stand,stone,2,The hidden word is 'stone' - found in test+one: ESTONE,,
4022c736-7d3a-4ace-ab1b-b5ab691a94f8,verbal_reasoning,hidden_words,3,"Find the word hidden across these two words:
FAST   ART",stand | stink | stage | stone | start,start,4,The hidden word is 'start' - found in fast+art: ASTART,,
46bbf944-36cc-44f8-87a9-7edc61aed3e8,verbal_reasoning,hidden_words,3,"Find the word hidden across these two words:
CAST   INK",stand | stand | stage | stink | stable,stink,3,The hidden word is 'stink' - found in cast+ink: ASTINK,,
49524734-bee2-4102-9f94-4f6959e164c5,verbal_reasoning,hidden_words,3,"Find the word hidden across these two words:
TRUST   ONE",start | stand | start | stone | stamp,stone,3,The hidden word is 'stone' - found in trust+one: USTONE,,
4959ab17-d827-4fc8-80bf-8cfccf6d8342,verbal_reasoning,hidden_words,3,"Find the word hidden across these two words:
LIST   ONE",stage | stand | stable | stand | stone,stone,4,The hidden word is 'stone' - found in list+one: ISTONE,,
4a943f7f-b007-4f56-a1da-2d4181d6a8c4,verbal_reasoning,hidden_words,3,"Find the word hidden across these two words:
TRUST   ONE",stand | stone | state | stamp | stand,stone,1,The hidden word is 'stone' - found in trust+one: USTONE,,
4b77ccc2-ecb1-434e-8746-61f001abb734,verbal_reasoning,hidden_words,3,"Find the word hidden across these two words:
LAST   AMP",stage | stair | stand | stamp | start,stamp,3,The hidden word is 'stamp' - found in last+amp: ASTAMP,,
5b57e1d4-aae8-46ae-874c-77fe6edf81f8,verbal_reasoning,hidden_words,3,"Find the word hidden across these two words:
FEAST   ART",stink | stair | stone | stable | start,start,4,The hidden word is 'start' - found in feast+art: ASTART,,
5c4f384d-7bb9-4795-9c45-c24751143b1c,verbal_reasoning,hidden_words,3,"Find the word hidden across these two words:
FIRST   ATE",state | stage | stand | start | stone,state,0,The hidden word is 'state' - found in first+ate: RSTATE,,
