ID,Subject,Type,Difficulty,Question,Options,Correct Answer,Correct Index,Worked Solution,VERIFIED (Y/N),ISSUES/NOTES
008e237a-b2ff-4c8a-9ef5-27f5ba676ccb,english,comprehension,3,"{""type"": ""comprehension"", ""title"": ""The Ant and the Grasshopper"", ""passage"": ""In a field one summer's day a Grasshopper was hopping about, chirping and singing to its heart's content. An Ant passed by, bearing along with great toil an ear of corn he was taking to the nest.\n\n\""Why not come and chat with me,\"" said the Grasshopper, \""instead of toiling and moiling in that way?\""\n\n\""I am helping to lay up food for the winter,\"" said the Ant, \""and recommend you to do the same.\""\n\n\""Why bother about winter?\"" said the Grasshopper; \""we have got plenty of food at present.\""\n\nBut the Ant went on its way and continued its toil.\n\nWhen the winter came the Grasshopper had no food, and found itself dying of hunger, while it saw the ants distributing every day corn and grain from the stores they had collected in the summer.\n\nThen the Grasshopper knew: It is best to prepare for the days of necessity."", ""question"": ""What did the Grasshopper think about winter?""}",He thought it would be warm | He was scared of it | He didn't worry about it | He was preparing for it,He didn't worry about it,2,From the passage 'The Ant and the Grasshopper': The answer is 'He didn't worry about it'.,,
0261fdcf-3d7b-4282-94df-70872d7bb3a0,english,comprehension,3,"{""type"": ""comprehension"", ""title"": ""The Fox and the Grapes"", ""passage"": ""One hot summer's day a Fox was strolling through an orchard till he came to a bunch of Grapes just ripening on a vine which had been trained over a lofty branch.\n\n\""Just the thing to quench my thirst,\"" said he.\n\nDrawing back a few paces, he took a run and a jump, and just missed the bunch. Turning round again with a One, Two, Three, he jumped up, but with no greater success.\n\nAgain and again he tried after the tempting morsel, but at last had to give it up, and walked away with his nose in the air, saying: \""I am sure they are sour.\""\n\nIt is easy to despise what you cannot get."", ""question"": ""Why couldn't the Fox reach the grapes?""}",They were too high | There was a fence | They were too far away | They were guarded,They were too high,0,From the passage 'The Fox and the Grapes': The answer is 'They were too high'.,,
039f5e8d-b1cc-4786-82cd-90b26ddbae31,english,comprehension,3,"{""type"": ""comprehension"", ""title"": ""The Ant and the Grasshopper"", ""passage"": ""In a field one summer's day a Grasshopper was hopping about, chirping and singing to its heart's content. An Ant passed by, bearing along with great toil an ear of corn he was taking to the nest.\n\n\""Why not come and chat with me,\"" said the Grasshopper, \""instead of toiling and moiling in that way?\""\n\n\""I am helping to lay up food for the winter,\"" said the Ant, \""and recommend you to do the same.\""\n\n\""Why bother about winter?\"" said the Grasshopper; \""we have got plenty of food at present.\""\n\nBut the Ant went on its way and continued its toil.\n\nWhen the winter came the Grasshopper had no food, and found itself dying of hunger, while it saw the ants distributing every day corn and grain from the stores they had collected in the summer.\n\nThen the Grasshopper knew: It is best to prepare for the days of necessity."", ""question"": ""What happened to the Grasshopper in winter?""}",He had plenty of food | He had no food and was hungry | He stayed with the Ant | He moved to another field,He had no food and was hungry,1,From the passage 'The Ant and the Grasshopper': The answer is 'He had no food and was hungry'.,,
0b2307de-c4b7-4118-94b8-4db8d99d50ae,english,comprehension,3,"{""type"": ""comprehension"", ""title"": ""The Boy Who Cried Wolf"", ""passage"": ""There was once a young Shepherd Boy who tended his sheep at the foot of a mountain near a dark forest. It was rather lonely for him all day, so he thought upon a plan by which he could get a little company and some excitement.\n\nHe rushed down towards the village calling out \""Wolf, Wolf,\"" and the villagers came out to meet him, and some of them stopped with him for a considerable time.\n\nThis pleased the boy so much that a few days afterwards he tried the same trick, and again the villagers came to his help.\n\nBut shortly after this a Wolf actually did come out from the forest, and began to worry the sheep, and the boy of course cried out \""Wolf, Wolf,\"" still louder than before.\n\nBut this time the villagers, who had been fooled twice before, thought the boy was again deceiving them, and nobody stirred to come to his help.\n\nSo the Wolf made a good meal off the boy's flock, and when the boy complained, the wise man of the village said: \""A liar will not be believed, even when he speaks the truth.\"" "", ""question"": ""What happened when the wolf really came?""}",The sheep fought the wolf | Everyone came running | Nobody came to help | The boy ran away,Nobody came to help,2,From the passage 'The Boy Who Cried Wolf': The answer is 'Nobody came to help'.,,
0f6b430a-a739-4a57-95d4-fcde8b65b9e1,english,comprehension,3,"{""type"": ""comprehension"", ""title"": ""The Ant and the Grasshopper"", ""passage"": ""In a field one summer's day a Grasshopper was hopping about, chirping and singing to its heart's content. An Ant passed by, bearing along with great toil an ear of corn he was taking to the nest.\n\n\""Why not come and chat with me,\"" said the Grasshopper, \""instead of toiling and moiling in that way?\""\n\n\""I am helping to lay up food for the winter,\"" said the Ant, \""and recommend you to do the same.\""\n\n\""Why bother about winter?\"" said the Grasshopper; \""we have got plenty of food at present.\""\n\nBut the Ant went on its way and continued its toil.\n\nWhen the winter came the Grasshopper had no food, and found itself dying of hunger, while it saw the ants distributing every day corn and grain from the stores they had collected in the summer.\n\nThen the Grasshopper knew: It is best to prepare for the days of necessity."", ""question"": ""What does this story teach us?""}",Singing is a waste of time | It is wise to prepare for the future | Summer is the best season | Ants are better than grasshoppers,It is wise to prepare for the future,1,From the passage 'The Ant and the Grasshopper': The answer is 'It is wise to prepare for the future'.,,
0fa23d0c-2fee-4196-b5ec-a4ee7fdccf4f,english,comprehension,3,"{""type"": ""comprehension"", ""title"": ""The Dog and His Reflection"", ""passage"": ""A Dog had stolen a piece of meat out of a butcher's shop, and was crossing a river on his way home, when he saw his own reflection in the stream below.\n\nThinking that it was another dog with another piece of meat, he resolved to make himself master of that also. But when he snapped at the reflection, he dropped the meat he was carrying, and it sank to the bottom and was lost.\n\nHe tried to get it back, but the current carried it away. He searched and searched, but the meat was gone forever.\n\nThe Dog had to go home with nothing."", ""question"": ""Why did the Dog drop the meat?""}",Someone took it | He snapped at his reflection | The meat was too heavy | He fell in the river,He snapped at his reflection,1,From the passage 'The Dog and His Reflection': The answer is 'He snapped at his reflection'.,,
0fe32736-028b-4b5e-976a-030413b49662,english,comprehension,3,"{""type"": ""comprehension"", ""title"": ""The North Wind and the Sun"", ""passage"": ""The North Wind boasted of great strength. The Sun argued that there was great power in gentleness.\n\n\""We shall have a contest,\"" said the Sun.\n\nFar below, a man traveled a winding road. He was wearing a warm winter coat.\n\n\""As a test of strength,\"" said the Sun, \""Let us see which of us can take the coat off that man.\""\n\n\""It will be quite simple for me to force him to remove his coat,\"" bragged the Wind.\n\nThe Wind blew so hard, the birds clung to the trees. The world was filled with dust and leaves. But the harder the wind blew down the road, the tighter the shivering man clung to his coat.\n\nThen the Sun came out from behind a cloud. Sun warmed the air and the frosty ground. The man on the road unbuttoned his coat.\n\nThe sun grew slowly brighter and brighter.\n\nSoon the man felt so hot, he took off his coat and sat down in a shady spot."", ""question"": ""What was the contest?""}",To move the clouds | To race across the sky | To make the man remove his coat | To make it rain,To make the man remove his coat,2,From the passage 'The North Wind and the Sun': The answer is 'To make the man remove his coat'.,,
212c91c0-bfe5-4169-a383-98d2176b7a69,english,comprehension,3,"{""type"": ""comprehension"", ""title"": ""The Crow and the Pitcher"", ""passage"": ""A Crow, half-dead with thirst, came upon a Pitcher which had once been full of water; but when the Crow put its beak into the mouth of the Pitcher he found that only very little water was left in it, and that he could not reach far enough down to get at it.\n\nHe tried, and he tried, but at last had to give up in despair.\n\nThen a thought came to him, and he took a pebble and dropped it into the Pitcher. Then he took another pebble and dropped it into the Pitcher. Then he took another pebble and dropped that into the Pitcher.\n\nAt last, at last, he saw the water mount up near him, and after casting in a few more pebbles he was able to quench his thirst and save his life."", ""question"": ""What did the Crow drop into the pitcher?""}",Pebbles | Sand | Leaves | Sticks,Pebbles,0,From the passage 'The Crow and the Pitcher': The answer is 'Pebbles'.,,
37391bc1-1da7-4d11-bbd0-4a984f65e5b8,english,comprehension,3,"{""type"": ""comprehension"", ""title"": ""The Dog and His Reflection"", ""passage"": ""A Dog had stolen a piece of meat out of a butcher's shop, and was crossing a river on his way home, when he saw his own reflection in the stream below.\n\nThinking that it was another dog with another piece of meat, he resolved to make himself master of that also. But when he snapped at the reflection, he dropped the meat he was carrying, and it sank to the bottom and was lost.\n\nHe tried to get it back, but the current carried it away. He searched and searched, but the meat was gone forever.\n\nThe Dog had to go home with nothing."", ""question"": ""Where did the Dog get the meat?""}",From another dog | From his owner | From a butcher's shop | From the river,From a butcher's shop,2,From the passage 'The Dog and His Reflection': The answer is 'From a butcher's shop'.,,
38793604-60e9-4456-b58d-268c51defe08,english,comprehension,3,"{""type"": ""comprehension"", ""title"": ""The Goose That Laid the Golden Eggs"", ""passage"": ""A Man and his Wife had the good fortune to possess a Goose which laid a Golden Egg every day. Lucky though they were, they soon began to think they were not getting rich fast enough, and imagining the bird must be made of gold inside, they decided to kill it in order to secure the whole store of precious metal at once.\n\nBut when they cut it open they found it was just like any other goose.\n\nThus, they neither got rich all at once, as they had hoped, nor enjoyed any longer the daily addition to their wealth.\n\nMuch wanting more, they lost all."", ""question"": ""Why did they kill the Goose?""}",They were hungry | They needed feathers | The goose was sick | They thought it was full of gold inside,They thought it was full of gold inside,3,From the passage 'The Goose That Laid the Golden Eggs': The answer is 'They thought it was full of gold inside'.,,
