ID,Subject,Type,Difficulty,Question,Options,Correct Answer,Correct Index,Worked Solution,VERIFIED (Y/N),ISSUES/NOTES
00b6c9c4-166c-48f9-b69b-e2392516f57a,verbal_reasoning,antonyms,3,"Find two words, one from each group, that are most opposite in meaning.
(donate, purchase, open) (accept, dull, miniature)",donate & accept | open & dull | purchase & miniature | donate & miniature | purchase & accept,donate & accept,0,'donate' and 'accept' are antonyms - they have opposite meanings.,,
07ea6bc8-89de-403b-9a60-9216ab0c2cf9,verbal_reasoning,antonyms,3,"Find two words, one from each group, that are most opposite in meaning.
(above, wet, adore) (closed, dry, difficult)",adore & dry | above & dry | above & difficult | wet & difficult | wet & dry,wet & dry,4,'wet' and 'dry' are antonyms - they have opposite meanings.,,
094ffbbb-e63a-405f-8d73-5d78b8a6d463,verbal_reasoning,antonyms,3,"Find two words, one from each group, that are most opposite in meaning.
(courageous, like, packed) (bare, despise, cowardly)",courageous & despise | packed & despise | like & cowardly | packed & bare | courageous & cowardly,packed & bare,3,'packed' and 'bare' are antonyms - they have opposite meanings.,,
0a03817c-c80d-4f27-9fde-0f04595989ff,verbal_reasoning,antonyms,2,"Find two words, one from each group, that are most opposite in meaning.
(hot, warm, tepid) (cold, cool, lukewarm)",hot & cold | hot & lukewarm | warm & cool | tepid & cold | warm & lukewarm,hot & cold,0,Hot and cold are antonyms - they represent opposite ends of the temperature scale.,,
10b53b71-1952-4afa-bd55-13ec3beb7a7b,verbal_reasoning,antonyms,2,"Find two words, one from each group, that are most opposite in meaning.
(new, wet, adore) (fearful, seldom, old)",wet & fearful | adore & seldom | wet & old | new & old,new & old,3,'new' and 'old' are antonyms - they have opposite meanings.,,
14b1dc10-93cb-4194-a8e4-71acb09a2ac2,verbal_reasoning,antonyms,3,"Find two words, one from each group, that are most opposite in meaning.
(lovely, over, beautiful) (under, grotesque, take)",lovely & grotesque | beautiful & grotesque | lovely & take | over & take | over & under,over & under,4,'over' and 'under' are antonyms - they have opposite meanings.,,
15f761e6-b89e-49b2-bc48-e6b5909beaf3,verbal_reasoning,antonyms,3,"Find two words, one from each group, that are most opposite in meaning.
(bright, silent, generous) (dark, loud, selfish)",bright & dark | bright & loud | silent & dark | silent & selfish | generous & loud,bright & dark,0,"Bright and dark are direct opposites in meaning, representing opposite levels of light.",,
17a676e5-e5cc-48c8-a452-3b4150c88c4c,verbal_reasoning,antonyms,3,"Find two words, one from each group, that are most opposite in meaning.
(bright, ancient, gentle) (dark, modern, harsh)",bright & dark | bright & modern | ancient & dark | ancient & harsh | gentle & modern,bright & dark,0,"‘Bright’ and ‘dark’ are direct opposites in meaning, making them the correct antonym pair.",,
182e3dbf-1f95-496c-bc0d-ba7d2cd5ced4,verbal_reasoning,antonyms,3,"Find two words, one from each group, that are most opposite in meaning.
(bright, ancient, quiet) (dark, modern, noisy)",bright & dark | bright & modern | ancient & dark | ancient & noisy | quiet & modern,bright & dark,0,"‘Bright’ means full of light, while ‘dark’ means lacking light. These two words are direct opposites, making them antonyms.",,
19846134-ccf9-4374-91b8-3e3a4c001ee3,verbal_reasoning,antonyms,2,"Find two words, one from each group, that are most opposite in meaning.
(correct, commence, wide) (back, conclude, wrong)",wide & conclude | commence & back | commence & wrong | correct & wrong,correct & wrong,3,'correct' and 'wrong' are antonyms - they have opposite meanings.,,
1ab3407c-2c00-4029-8857-943b82a6397a,verbal_reasoning,antonyms,3,"Find two words, one from each group, that are most opposite in meaning.
(bright, ancient, smooth) (dark, modern, rough)",bright & dark | bright & modern | ancient & dark | ancient & rough | smooth & modern,bright & dark,0,"Bright and dark are direct opposites, representing opposite levels of light. The other pairs do not have such a clear antonym relationship.",,
1dab7860-4a17-44eb-b189-c043bb950043,verbal_reasoning,antonyms,3,"Find two words, one from each group, that are most opposite in meaning.
(bright, ancient, quiet) (dark, modern, noisy)",bright & dark | bright & modern | ancient & dark | ancient & noisy | quiet & modern,bright & dark,0,"‘Bright’ means full of light, while ‘dark’ means lacking light. They are direct opposites, making them the correct antonym pair.",,
1eb6d660-e56f-4348-a502-18c5fdbc05c3,verbal_reasoning,antonyms,3,"Find two words, one from each group, that are most opposite in meaning.
(fast, courageous, start) (cool, never, finish)",courageous & finish | fast & finish | fast & never | start & finish | start & never,start & finish,3,'start' and 'finish' are antonyms - they have opposite meanings.,,
