ID,Subject,Type,Difficulty,Question,Options,Correct Answer,Correct Index,Worked Solution,VERIFIED (Y/N),ISSUES/NOTES
058d71a6-d1d4-47f1-9257-7165d8325ea8,english,spelling,2,Which word is spelled correctly?,embarrass | embaras | embarass | embarras,embarrass,0,The correct spelling is 'embarrass'.,,
087349ab-35b6-4063-a2dc-9ecb532e35aa,english,spelling,3,Which word is spelled correctly?,embarrass | embarass | embarras | embaras,embarrass,0,The correct spelling is 'embarrass'.,,
0bf08362-7d11-482a-bee8-f15db1d1a9e5,english,spelling,3,Which word is spelled correctly?,heighth | heigth | height | hight,height,2,The correct spelling is 'height'.,,
1028c4bf-18b6-4235-a182-133c359cc901,english,spelling,2,Which word is spelled correctly?,restarant | restaurant | restraunt | resturant,restaurant,1,The correct spelling is 'restaurant'.,,
11d29f4b-4f7d-4ba2-a05d-91a2a637d0f7,english,spelling,3,Which word is spelled correctly?,embaras | embarrass | embarass | embarras,embarrass,1,The correct spelling is 'embarrass'.,,
1674d7f3-5726-4e43-9eb4-ef9b9c594d1c,english,spelling,3,Which word is spelled correctly?,argument | arguement | argumetn | arguemnt,argument,0,The correct spelling is 'argument'.,,
1a7654f5-e1eb-4a0d-8914-c11430b3b6f5,english,spelling,3,Which word is spelled correctly?,restraunt | restaurant | restarant | resturant,restaurant,1,The correct spelling is 'restaurant'.,,
22c2b0ef-42e3-4ade-8cb9-9f5a11e2da46,english,spelling,3,Which word is spelled correctly?,surprize | suprise | surprise | surprice,surprise,2,The correct spelling is 'surprise'.,,
22d1542b-5903-4457-a01c-f0f5e701c278,english,spelling,3,Which word is spelled correctly?,embaras | embarrass | embarass | embarras,embarrass,1,The correct spelling is 'embarrass'.,,
26a50da6-8515-4f95-ba3d-cc3782cd970e,english,spelling,3,Which word is spelled correctly?,definately | definatly | definitley | definitely,definitely,3,The correct spelling is 'definitely'.,,
26ea4ae1-1b8e-4f05-b0c7-1822c5793b12,english,spelling,3,Which word is spelled correctly?,environment | enviornment | enviroment | environmant,environment,0,The correct spelling is 'environment'.,,
292ef495-4dd5-47a8-8ccd-133eb471c1a7,english,spelling,3,Which word is spelled correctly?,seperate | seperete | separate | separete,separate,2,The correct spelling is 'separate'.,,
37b7c41d-61e3-49f2-bcb7-051bfb094623,english,spelling,3,Which word is spelled correctly?,begining | beginnning | beginning | beggining,beginning,2,The correct spelling is 'beginning'.,,
39e9781f-ebfe-40bf-b84d-a1c3a472daf8,english,spelling,2,Which word is spelled correctly?,achive | acheive | achieve | acheeve,achieve,2,The correct spelling is 'achieve'.,,
3f6fb986-adfa-4f81-bb98-af374eb229d4,english,spelling,3,Which word is spelled correctly?,occurrance | occurance | occurence | occurrence,occurrence,3,The correct spelling is 'occurrence'.,,
40d2325e-9c32-4625-af8b-0f92ad37c053,english,spelling,2,Which word is spelled correctly?,rythm | rhythym | rithm | rhythm,rhythm,3,The correct spelling is 'rhythm'.,,
41312f2d-17d3-4246-a01d-cac6a1283e47,english,spelling,3,Which word is spelled correctly?,recomend | recommand | recommend | reccommend,recommend,2,The correct spelling is 'recommend'.,,
4219fbb9-9055-4852-96e5-bf7f816338de,english,spelling,2,Which word is spelled correctly?,definatly | definitley | definately | definitely,definitely,3,The correct spelling is 'definitely'.,,
46a4f21c-32e8-4cce-83bb-bfa92c6e7df0,english,spelling,3,Which word is spelled correctly?,occurrance | occurrence | occurance | occurence,occurrence,1,The correct spelling is 'occurrence'.,,
4743b84e-de29-4a13-8732-d57885331488,english,spelling,3,Which word is spelled correctly?,Wendesday | Wednesday | Wensday | Wednsday,Wednesday,1,The correct spelling is 'Wednesday'.,,
47eeb84d-21f4-41c4-a9a5-ce0a6426b938,english,spelling,3,Which word is spelled correctly?,necessary | neccesary | necesary | neccessary,necessary,0,The correct spelling is 'necessary'.,,
