ID,Subject,Type,Difficulty,Question,Options,Correct Answer,Correct Index,Worked Solution,VERIFIED (Y/N),ISSUES/NOTES
0388d007-692e-4b01-89f1-4301e548a149,mathematics,arithmetic,3,Calculate: 19 × 7 = ?,134 | 152 | 133 | 114 | 132,133,2,19 × 7 = 133,,
03cf045b-71ee-48e6-ae75-7017b171e1c7,mathematics,arithmetic,2,Calculate: 11 × 7 = ?,78 | 66 | 77 | 76 | 88,77,2,11 × 7 = 77,,
0633157d-e4f8-44e2-b7cb-920027a664ab,mathematics,arithmetic,3,Calculate: 221 + 69 = ?,290 | 291 | 280 | 289 | 300,290,0,221 + 69 = 290,,
06a58610-f0ab-452d-a7f1-1268f7188d0f,mathematics,arithmetic,3,Calculate: 21 × 4 = ?,85 | 105 | 83 | 84 | 63,84,3,21 × 4 = 84,,
077faf62-8d36-48bf-8de9-47ad637b0b2b,mathematics,arithmetic,3,Calculate: 590 + 28 = ?,619 | 608 | 618 | 617 | 628,618,2,590 + 28 = 618,,
09064129-30e1-4467-95fe-3fc56bf81c97,mathematics,arithmetic,2,Calculate: 59 + 80 = ?,138 | 140 | 139 | 149 | 129,139,2,59 + 80 = 139,,
092daebd-4ee3-4f05-a832-e31134e9b3c1,mathematics,arithmetic,3,Calculate: 354 + 42 = ?,386 | 406 | 395 | 396 | 397,396,3,354 + 42 = 396,,
09903fc0-76c8-42f4-9c4c-9f9aad904a42,mathematics,arithmetic,3,Calculate: 269 + 44 = ?,312 | 313 | 314 | 303 | 323,313,1,269 + 44 = 313,,
09e1fd8b-23a7-42f4-9162-b7b6ff5e74e1,mathematics,arithmetic,3,Calculate: 157 + 63 = ?,230 | 219 | 220 | 210 | 221,220,2,157 + 63 = 220,,
0c825e66-206a-4c0c-bdac-fcf306ec47ef,mathematics,arithmetic,3,"A school is buying new computers. The total cost for 8 computers is $9,600. The school receives a discount of 12.5% on the whole purchase. After paying the discounted price, they also need to set aside 15% of the remaining amount for maintenance. How much money does the school actually spend on the computers after the discount and before setting aside the maintenance fund?","8,400 | 7,500 | 9,600 | 8,640 | 7,200","8,400",0,"First find the discount: 12.5% of $9,600 = 0.125 × 9,600 = $1,200. Subtract the discount from the original price: 9,600 - 1,200 = $8,400. This is the amount paid for the computers before setting aside the maintenance fund. The correct answer is $8,400.",,
0f3cb88f-bfa6-48d3-a43b-9522dd4f582b,mathematics,arithmetic,2,Calculate: 51 + 36 = ?,77 | 97 | 87 | 88 | 86,87,2,51 + 36 = 87,,
0fc7fbc7-059f-41a0-afb9-d719c8cc79e7,mathematics,arithmetic,3,Calculate: 681 + 35 = ?,716 | 717 | 726 | 706 | 715,716,0,681 + 35 = 716,,
10e2d1a6-a3da-4245-880b-1590815e456f,mathematics,arithmetic,3,Calculate: 13 × 9 = ?,118 | 130 | 117 | 116 | 104,117,2,13 × 9 = 117,,
1268834b-d9b9-473d-94ce-d5e136fd708b,mathematics,arithmetic,3,Calculate: 622 + 37 = ?,660 | 669 | 659 | 658 | 649,659,2,622 + 37 = 659,,
1301fcfb-c1a2-453d-a9d0-0bfbbf15e427,mathematics,arithmetic,3,Calculate: 16 × 7 = ?,96 | 128 | 111 | 112 | 113,112,3,16 × 7 = 112,,
162291e8-7a6c-43c3-8da2-9b51cb91326c,mathematics,arithmetic,3,Calculate: 23 × 7 = ?,160 | 161 | 138 | 162 | 184,161,1,23 × 7 = 161,,
1748b790-1e6a-4ca3-8ab7-764075ce46ae,mathematics,arithmetic,2,Calculate: 83 + 46 = ?,119 | 139 | 129 | 130 | 128,129,2,83 + 46 = 129,,
179297b2-a888-4217-be9c-475275f7ccab,mathematics,arithmetic,3,Calculate: 14 × 2 = ?,29 | 14 | 42 | 28 | 27,28,3,14 × 2 = 28,,
19b6c2da-2aef-4f84-b45a-92b4fe9316dd,mathematics,arithmetic,2,Calculate: 19 + 26 = ?,55 | 44 | 45 | 46 | 35,45,2,19 + 26 = 45,,
1e03ca26-8bd5-4edd-8ed2-c0df83bd5f72,mathematics,arithmetic,3,"A bakery makes 240 cupcakes each morning. Exactly 25% of the cupcakes are chocolate flavored. Later in the day, they sell 30 chocolate cupcakes and then bake an additional 12 chocolate cupcakes to restock. How many chocolate cupcakes are there at the end of the day?",42 | 38 | 45 | 40 | 36,42,0,"First find how many chocolate cupcakes were made initially: 25% of 240 = 0.25 × 240 = 60.
Then subtract the 30 chocolate cupcakes that were sold: 60 – 30 = 30.
Finally add the 12 newly baked chocolate cupcakes: 30 + 12 = 42.
So, there are 42 chocolate cupcakes left at the end of the day.",,
1ed2f0e8-3a78-4a42-b01c-f90601beee26,mathematics,arithmetic,2,Calculate: 53 + 21 = ?,74 | 73 | 64 | 84 | 75,74,0,53 + 21 = 74,,
