ID,Subject,Type,Difficulty,Question,Options,Correct Answer,Correct Index,Worked Solution,VERIFIED (Y/N),ISSUES/NOTES
025a8b3f-00bf-42ef-a382-837997fb66ca,mathematics,sequences,4,"What comes next in the sequence?
35, 44, 53, 62, 71, ___",80 | 71 | 79 | 78 | 81,80,0,"This is an arithmetic sequence where each number increases by 9.
71 + 9 = 80",,
0a205a4f-5cc5-42a8-a2c3-a678f4401323,mathematics,sequences,2,"What comes next in the sequence?
6, 9, 15, 24, 36, ___",48 | 49 | 50 | 51 | 52,51,3,"The differences increase by 3 each time.
Next difference: 15, so 36 + 15 = 51",,
0db80c33-7ed8-4980-98af-2d185f38df77,mathematics,sequences,3,"What comes next in the sequence?
4, 9, 14, 19, ___",23 | 24 | 25 | 26,24,1,"Each term increases by 5. After 19, adding 5 gives 24.",,
0de902ad-5f94-4c4c-84cc-fb390102df88,mathematics,sequences,2,"What comes next in the sequence?
6, 9, 15, 24, 36, ___",49 | 50 | 52 | 51 | 48,51,3,"The differences increase by 3 each time.
Next difference: 15, so 36 + 15 = 51",,
0f738681-a560-43eb-a791-3a70aa318d29,mathematics,sequences,4,"What comes next in the sequence?
66, 83, 100, 117, 134, ___",134 | 151 | 150 | 149 | 169,151,1,"This is an arithmetic sequence where each number increases by 17.
134 + 17 = 151",,
10e8877e-1d9e-4f98-b9b2-28e4075b091f,mathematics,sequences,3,"What comes next in the sequence?
3, 5, 9, 15, 23, ___",32 | 33 | 34 | 35 | 31,33,1,"The differences increase by 2 each time.
Next difference: 10, so 23 + 10 = 33",,
118ce46b-5d35-4c4e-abc1-5f2ce0d7f7ff,mathematics,sequences,4,"What comes next in the sequence?
15, 22, 29, 36, 43, ___",51 | 49 | 48 | 50 | 43,50,3,"This is an arithmetic sequence where each number increases by 7.
43 + 7 = 50",,
125dda75-f2d4-4389-a54a-9b0a95f9fbfd,mathematics,sequences,2,"What comes next in the sequence?
3, 5, 7, 9, ___",13 | 11 | 10 | 12 | 9,11,1,"This is an arithmetic sequence where each number increases by 2.
9 + 2 = 11",,
142c7bb8-4e42-4597-a718-4a762220e59c,mathematics,sequences,3,"What comes next in the sequence?
3, 7, 12, 18, ___",22 | 24 | 25 | 26 | 27,25,2,"The differences between terms are 4, 5, and 6, increasing by 1 each time. The next difference is 7, so 18 + 7 = 25.",,
14519a33-663c-4c79-a57c-043c53ed42ae,mathematics,sequences,2,"What comes next in the sequence?
13, 18, 23, 28, ___",35 | 33 | 39 | 34 | 32,33,1,"This is an arithmetic sequence where each number increases by 5.
28 + 5 = 33",,
