ID,Subject,Type,Difficulty,Question,Options,Correct Answer,Correct Index,Worked Solution,VERIFIED (Y/N),ISSUES/NOTES
0d95a69e-8209-4857-97b1-a2ac56b992d6,verbal_reasoning,compound_words,2,Which word can be added to 'TOOTH' to make a compound word?,man | brush | brow | paste | port,paste,3,'tooth' + 'paste' = 'toothpaste',,
13e16376-b0be-41d3-a723-c8ebb0b56f52,verbal_reasoning,compound_words,2,Which word can be added to 'CLASS' to make a compound word?,man | room | fly | port | side,room,1,'class' + 'room' = 'classroom',,
14d5c6a1-134d-402f-bd69-e80a7891865e,verbal_reasoning,compound_words,2,Which word can be added to 'HAIR' to make a compound word?,storm | work | brush | top | brow,brush,2,'hair' + 'brush' = 'hairbrush',,
2316bff6-96a5-4798-92ea-aff172b665a7,verbal_reasoning,compound_words,2,Which word can be added to 'BED' to make a compound word?,room | ball | nail | man | shelf,room,0,'bed' + 'room' = 'bedroom',,
338c9e21-51ae-433e-9c51-1b961c7c9dab,verbal_reasoning,compound_words,2,Which word can be added to 'BOOK' to make a compound word?,room | top | brush | bell | shelf,shelf,4,'book' + 'shelf' = 'bookshelf',,
36bd3ed8-eaad-4cea-a21f-adfde9734c8a,verbal_reasoning,compound_words,2,Which word can be added to 'KEY' to make a compound word?,storm | man | man | board | brush,board,3,'key' + 'board' = 'keyboard',,
371b9a76-f017-4daf-8405-5eb82ca5f54e,verbal_reasoning,compound_words,2,Which word can be added to 'PLAY' to make a compound word?,brush | paper | storm | board | ground,ground,4,'play' + 'ground' = 'playground',,
391cb96a-0f00-466e-aab1-5b89f54d2b72,verbal_reasoning,compound_words,2,Which word can be added to 'CLASS' to make a compound word?,room | man | bow | brush | port,room,0,'class' + 'room' = 'classroom',,
3c1ccaa1-21ca-457b-848e-1dd25062b113,verbal_reasoning,compound_words,2,Which word can be added to 'FINGER' to make a compound word?,nail | board | room | port | man,nail,0,'finger' + 'nail' = 'fingernail',,
4531a2af-3045-4c7a-aa04-cc4723e9d66a,verbal_reasoning,compound_words,2,Which word can be added to 'HOME' to make a compound word?,board | nail | work | room | board,work,2,'home' + 'work' = 'homework',,
48678d54-bcf2-414e-a9aa-283e2679fe59,verbal_reasoning,compound_words,2,Which word can be added to 'NEWS' to make a compound word?,paper | man | side | port | nail,paper,0,'news' + 'paper' = 'newspaper',,
4a6e7e96-1079-47ca-b39e-89fec3ab51eb,verbal_reasoning,compound_words,2,Which word can be added to 'BED' to make a compound word?,man | board | work | fly | room,room,4,'bed' + 'room' = 'bedroom',,
4d255697-5a8a-4987-a875-fcc189f21aba,verbal_reasoning,compound_words,2,Which word can be added to 'SUN' to make a compound word?,chair | paper | work | paste | flower,flower,4,'sun' + 'flower' = 'sunflower',,
4dc49d46-dde2-418d-8a3c-49dc0cf2118f,verbal_reasoning,compound_words,2,Which word can be added to 'RAIN' to make a compound word?,top | chair | fly | fall | bow,bow,4,'rain' + 'bow' = 'rainbow',,
553a2b05-7320-46ce-b1d8-5754dd5dc030,verbal_reasoning,compound_words,2,Which word can be added to 'WATER' to make a compound word?,bow | man | fall | brush | paper,fall,2,'water' + 'fall' = 'waterfall',,
