ID,Subject,Type,Difficulty,Question,Options,Correct Answer,Correct Index,Worked Solution,VERIFIED (Y/N),ISSUES/NOTES
0923ef73-d93c-43a9-9e2e-d1c765993311,english,grammar,2,"Choose the correct word to complete the sentence:

I have ___ my homework.",done | did | do | doing,done,0,The correct answer is 'done'.,,
0a0522d0-cc61-49cc-8a32-5441e9e07f5a,english,grammar,2,"Choose the correct word to complete the sentence:

___ you like some tea?",Do | Are | Would | Will,Would,2,The correct answer is 'Would'.,,
0a5ca9ca-4098-4f62-b277-f60e24fba1de,english,grammar,2,"Choose the correct word to complete the sentence:

The children ___ playing in the garden.",are | am | be | is,are,0,The correct answer is 'are'.,,
20f20fc8-b117-4b72-9daf-0d35050e9f51,english,grammar,2,"Choose the correct word to complete the sentence:

I wish I ___ taller.",am | be | was | were,were,3,The correct answer is 'were'.,,
2a78d3ec-4432-4975-a070-a6070ab8279e,english,grammar,2,"Choose the correct word to complete the sentence:

I ___ reading this book for two hours.",am | have been | had | was,have been,1,The correct answer is 'have been'.,,
324c5539-98d3-45c2-971f-4bbae964d834,english,grammar,3,"Choose the correct word to complete the sentence:

She asked ___ the museum was open.",that | if | which | what,if,1,The correct answer is 'if'.,,
355a54d0-4618-45f1-854d-c02090203e88,english,grammar,2,"Choose the correct word to complete the sentence:

She speaks more ___ than her sister.",quiet | quietest | quieter | quietly,quietly,3,The correct answer is 'quietly'.,,
3c38ad05-04d6-4029-99b5-6798fe5bb541,english,grammar,3,"Choose the correct word to complete the sentence:

There ___ many books on the shelf.",are | is | was | be,are,0,The correct answer is 'are'.,,
3de5bf5d-c8b1-401b-b250-73fa8173a0b6,english,grammar,3,"Choose the correct word to complete the sentence:

She speaks French very ___.",well | good | fine | nice,well,0,The correct answer is 'well'.,,
3fa0c5cc-b581-402e-9d15-261048f10e9c,english,grammar,3,"Choose the correct word to complete the sentence:

I have ___ my homework.",done | do | did | doing,done,0,The correct answer is 'done'.,,
402b90af-c175-409a-95e8-1b52a4dd40c5,english,grammar,2,"Choose the correct word to complete the sentence:

She ___ to the shop yesterday.",goes | going | go | went,went,3,The correct answer is 'went'.,,
4d5ebe42-0505-464a-956d-d04d2cdfc7b0,english,grammar,2,"Choose the correct word to complete the sentence:

The team ___ playing well today.",were | is | be | are,is,1,The correct answer is 'is'.,,
5094d785-d501-458d-b7f2-304f99e6e7a9,english,grammar,3,"Choose the correct word to complete the sentence:

___ of the options is correct.",Both | Neither | Either | None,Neither,1,The correct answer is 'Neither'.,,
63f4bec9-c358-4687-aeaf-f2fbb88393da,english,grammar,3,"Choose the correct word to complete the sentence:

Neither the teacher ___ the students were late.",and | but | nor | or,nor,2,The correct answer is 'nor'.,,
65dfe431-4e6f-490c-9674-83a7f7f9b5f1,english,grammar,3,"Choose the correct word to complete the sentence:

She is the ___ girl in the class.",tall | more tall | taller | tallest,tallest,3,The correct answer is 'tallest'.,,
671623b1-6d15-4c00-bf2f-6c4af06ac27c,english,grammar,3,"Choose the correct word to complete the sentence:

The scissors ___ on the desk.",be | are | is | was,are,1,The correct answer is 'are'.,,
6b4b869d-2daa-4285-bf71-0dd034559a15,english,grammar,3,"Choose the correct word to complete the sentence:

I saw ___ elephant at the zoo.",a | some | the | an,an,3,The correct answer is 'an'.,,
71208fee-a098-41de-a6b1-fc9144ae6b5f,english,grammar,2,"Choose the correct word to complete the sentence:

The children ___ playing in the garden.",be | are | am | is,are,1,The correct answer is 'are'.,,
71ae228d-9684-4e5a-90a5-c2fad26f716c,english,grammar,2,"Choose the correct word to complete the sentence:

The news ___ very surprising.",were | have | was | are,was,2,The correct answer is 'was'.,,
7614a1da-2002-4695-adbc-86c6a6fa296f,english,grammar,3,"Choose the correct word to complete the sentence:

They ___ been waiting for an hour.",had | has | have | having,have,2,The correct answer is 'have'.,,
79a9ff37-26b2-4b66-9a83-4a6891bdcf82,english,grammar,3,"Choose the correct word to complete the sentence:

She speaks French very ___.",well | fine | nice | good,well,0,The correct answer is 'well'.,,
7f67ca0f-2df2-4193-b095-4f46d186db7b,english,grammar,3,"Choose the correct word to complete the sentence:

He asked me ___ I wanted to join.",weather | if or not | whether | wether,whether,2,The correct answer is 'whether'.,,
7fd8d5ec-2ae5-411c-b5a7-75de0a7362a9,english,grammar,3,"Choose the correct word to complete the sentence:

She ___ her keys before leaving.",checked | checks | check | checking,checked,0,The correct answer is 'checked'.,,
8570ada4-1be4-4d91-a3e5-eaea590c246c,english,grammar,3,"Choose the correct word to complete the sentence:

If I ___ you, I would apologize.",were | was | be | am,were,0,The correct answer is 'were'.,,
863b941a-7904-447c-b0e2-e06d16ab6249,english,grammar,3,"Choose the correct word to complete the sentence:

The news ___ very surprising.",was | have | were | are,was,0,The correct answer is 'was'.,,
8caaaefd-e991-448c-bfbd-5bb800af99d5,english,grammar,3,"Choose the correct word to complete the sentence:

Each of the students ___ a book.",having | have | had | has,has,3,The correct answer is 'has'.,,
9065f8d8-f9e1-45e9-ad51-3adc2af167ae,english,grammar,3,"Choose the correct word to complete the sentence:

The book ___ on the table.",are | am | be | is,is,3,The correct answer is 'is'.,,
934775e6-18dc-40d5-96fa-d225a7495617,english,grammar,3,"Choose the correct word to complete the sentence:

___ you like some tea?",Will | Are | Do | Would,Would,3,The correct answer is 'Would'.,,
9e70f10e-f587-4938-acc1-dd06a14a8105,english,grammar,2,"Choose the correct word to complete the sentence:

The cat sat on ___ mat.",a | an | the | some,the,2,The correct answer is 'the'.,,
a4a5cc85-14a1-4b6c-952f-4a3cc76b1407,english,grammar,3,"Choose the correct word to complete the sentence:

They ___ been waiting for an hour.",having | have | has | had,have,1,The correct answer is 'have'.,,
ab28c1f4-0f87-4e36-8306-bcb347507402,english,grammar,2,"Choose the correct word to complete the sentence:

The book ___ on the table.",be | am | is | are,is,2,The correct answer is 'is'.,,
b022f088-1bec-4906-89eb-03ca121de156,english,grammar,3,"Choose the correct word to complete the sentence:

The team ___ playing well today.",are | were | is | be,is,2,The correct answer is 'is'.,,
bb4c8997-7ae3-47be-8af3-82bf1cfefd16,english,grammar,3,"Choose the correct word to complete the sentence:

I saw ___ elephant at the zoo.",the | an | some | a,an,1,The correct answer is 'an'.,,
c3f09a6d-a44e-4e09-ae12-1ce739a27310,english,grammar,3,"Choose the correct word to complete the sentence:

She is the ___ girl in the class.",taller | more tall | tallest | tall,tallest,2,The correct answer is 'tallest'.,,
