ID,Subject,Type,Difficulty,Question,Options,Correct Answer,Correct Index,Worked Solution,VERIFIED (Y/N),ISSUES/NOTES
01a38dea-b457-4405-ad45-ffc3be8a8471,verbal_reasoning,synonyms,3,"Find two words, one from each group, that are closest in meaning.
(swift, gloomy, fabric) (rapid, sadness, cloth)",swift & rapid | swift & sadness | gloomy & rapid | gloomy & cloth | fabric & sadness,swift & rapid,0,"The words 'swift' and 'rapid' both mean moving quickly, making them synonyms.",,
034adaf3-b130-4b5d-b725-346fb28407f0,verbal_reasoning,synonyms,2,"Find two words, one from each group, that are closest in meaning.
(brave, happy, run) (conclude, wander, glad)",happy & glad | brave & wander | run & wander | brave & glad,happy & glad,0,'happy' and 'glad' are synonyms - they both mean similar things.,,
047f1c0c-db08-405c-a8f4-23103d6897ad,verbal_reasoning,synonyms,3,"Find two words, one from each group, that are closest in meaning.
(rapid, gloomy, mirth) (swift, cheerful, somber)",rapid & swift | rapid & cheerful | gloomy & swift | gloomy & somber | mirth & cheerful,rapid & swift,0,"‘Rapid’ and ‘swift’ both mean moving quickly, making them synonyms.",,
0576c082-afc8-4cd3-83fa-a14035ad9aad,verbal_reasoning,synonyms,3,"Find two words, one from each group, that are closest in meaning.
(rapid, gentle, ancient) (swift, kind, old)",rapid & swift | rapid & kind | gentle & swift | gentle & old | ancient & kind,rapid & swift,0,"‘Rapid’ and ‘swift’ both mean moving quickly, making them synonyms.",,
070e8edc-e96a-4b21-9bbb-5dddafb8e0a0,verbal_reasoning,synonyms,3,"Find two words, one from each group, that are closest in meaning.
(brave, clean, sad) (enormous, moist, unhappy)",clean & unhappy | sad & unhappy | brave & unhappy | sad & moist | brave & moist,sad & unhappy,1,'sad' and 'unhappy' are synonyms - they both mean similar things.,,
08222669-0152-4860-b46e-e5c539143886,verbal_reasoning,synonyms,3,"Find two words, one from each group, that are closest in meaning.
(begin, weak, end) (rapid, furious, fragile)",weak & fragile | end & furious | begin & fragile | begin & furious,weak & fragile,0,'weak' and 'fragile' are synonyms - they both mean similar things.,,
114db021-6cba-4082-8cee-b0a11dbde9fe,verbal_reasoning,synonyms,3,"Find two words, one from each group, that are closest in meaning.
(swift, broad, silent) (quick, narrow, quiet)",swift & quick | swift & narrow | broad & quick | broad & quiet | silent & narrow,swift & quick,0,"‘Swift’ and ‘quick’ both mean moving at high speed, making them synonyms.",,
12b3f92b-a3df-429d-aafc-614950b137cb,verbal_reasoning,synonyms,3,"Find two words, one from each group, that are closest in meaning.
(look, drink, good) (excellent, robust, dumb)",look & dumb | good & excellent | drink & dumb | good & robust | look & robust,good & excellent,1,'good' and 'excellent' are synonyms - they both mean similar things.,,
13ee0efb-0e7e-4ffc-a136-150b4ad3b19c,verbal_reasoning,synonyms,2,"Find two words, one from each group, that are closest in meaning.
(cold, sad, begin) (boiling, commence, munch)",cold & munch | begin & commence | sad & munch | cold & commence,begin & commence,1,'begin' and 'commence' are synonyms - they both mean similar things.,,
143a0635-b910-4ccf-9ef3-fc92bdaf1a95,verbal_reasoning,synonyms,3,"Find two words, one from each group, that are closest in meaning.
(rapid, gloomy, tiny) (swift, bright, minute)",rapid & swift | rapid & bright | gloomy & swift | gloomy & minute | tiny & bright,rapid & swift,0,"‘Rapid’ and ‘swift’ both mean moving quickly, making them synonyms. The other pairs do not share the same meaning.",,
